全日本パワーリフティング選手権大会,2011-07-24,1,1,,,,,,,,,,,,,,,,,
伊差川 浩之,1,1,1,1953,58.42,210,220,225,170,-175,175,210,217.5,-222.5,225,175,217.5,617.5,1,540
竹花 真人,1,1,1,1988,58.88,210,217.5,-225,175,180,-187.5,190,200,-205,217.5,180,200,597.5,2,519.17
水野 貴章,1,1,1,1967,58.52,210,-220,-220,165,175,180,200,-210,-210,210,180,200,590,3,515.13
池上 宏樹,1,1,1,1991,58.64,-210,210,-220,130,135,-140,212.5,-220,-232.5,210,135,212.5,557.5,4,485.97
白石 匡,1,1,1,1980,56,-172.5,172.5,185,115,125,132.5,205,212.5,-215,185,132.5,212.5,530,5,482.46
谷内 政公,1,1,1,1979,58.88,180,190,195,115,122.5,127.5,190,-207.5,207.5,195,127.5,207.5,530,6,460.52
下坂 恭平,1,1,1,1988,58.96,195,205,212.5,115,120,125,180,-185,-185,212.5,125,180,517.5,7,448.93
中条 義喜,1,1,1,1965,58.38,182.5,192.5,-197.5,107.5,112.5,-115,185,-195,-200,192.5,112.5,185,490,8,429.19
佐藤 義宏,1,1,1,1982,65.62,230,-240,240,175,185,192.5,220,230,-235,240,192.5,230,662.5,1,522.78
西村 義人,1,1,1,1990,64.72,255,-262.5,-262.5,160,-165,-165,240,-247.5,-247.5,255,160,240,655,2,522.89
松岡 貴士,1,1,1,1979,65.24,240,-250,250,150,157.5,162.5,220,-240,-245,250,162.5,220,632.5,3,501.7
長瀬 健太郎,1,1,1,1986,64.04,210,225,235,135,140,145,210,-217.5,-220,235,145,210,590,4,475.36
木次 貞喜,1,1,1,1975,65.42,215,225,-230,140,145,-150,200,207.5,210,225,145,210,580,5,458.84
小国 正之,1,1,1,1980,65,190,205,215,155,165,-172.5,165,180,192.5,215,165,192.5,572.5,6,455.25
丹羽 弘典,1,1,1,1961,65.64,200,210,-220,115,120,125,200,220,225,210,125,225,560,7,441.9
奥谷 元哉,1,1,1,1980,73.52,-265,-265,265,205,212.5,-215,227.5,235,237.5,265,212.5,237.5,715,1,516.8
濱田 展行,1,1,1,1969,73.54,-270,270,275,185,190,-192.5,240,-250,-252.5,275,190,240,705,2,509.57
山田 英司,1,1,1,1970,73.5,230,242.5,250,162.5,-170,-170,235,250,260,250,162.5,260,672.5,3,486.08
伊藤 高行,1,1,1,1964,72.98,-235,235,250,150,155,160,235,-250,-250,250,160,235,645,4,468.98
本島 大稔,1,1,1,1975,72.8,210,227.5,235,165,-170,-170,210,225,235,235,165,235,635,5,462.15
